Words,NER Tag
three,CARDINAL
ESG,ORG
EU,ORG
mBank,ORG
annually,DATE
2023,DATE
second,ORDINAL
ENCORE,WORK_OF_ART
the previous year,DATE
ENCORE,ORG
German,NORP
35,CARDINAL
4.9%,PERCENT
46,CARDINAL
3.5%,PERCENT
29,CARDINAL
2.6%,PERCENT
28,CARDINAL
2.4%,PERCENT
20,CARDINAL
1.5%,PERCENT
Kunming-Montreal Global Biodiversity Framework,ORG
the National Biodiversity Strategy,ORG
2030,DATE
ESG,ORG
ESG,ORG
the Nature Target Setting Working Group,ORG
November 2023,DATE
December 2023,DATE
Taskforce,ORG
Financial Disclosures,ORG
TNFD,ORG
first,ORDINAL
TNFD,ORG
52,CARDINAL
Commerzbank,ORG
2023,DATE
CO2,PRODUCT
zero,CARDINAL
2050,DATE
2030,DATE
Commerzbank,ORG
first,ORDINAL
German,NORP
2050,DATE
the next few years,DATE
September 2023,DATE
Commerzbank,ORG
"the 
Partnership for Carbon Accounting Financials",ORG
2023,DATE
year 2021,DATE
2030,DATE
"the Sectoral 
Decarbonization Approach",ORG
1.8,CARDINAL
1.5,CARDINAL
zero,CARDINAL
2050,DATE
two,CARDINAL
zero,CARDINAL
first,ORDINAL
the Sectoral Decarbonization Approach,ORG
SDA,ORG
second,ORDINAL
CO2,PRODUCT
2030,DATE
year 2021,DATE
2030,DATE
Commerzbank,ORG
Bank,ORG
ESG,ORG
zero,CARDINAL
"Corporate Responsibility 
Management Report 
Risk Report 
Financial Statements 
Further Information",ORG
"53 
 
25 Declaration",MONEY
Art,PERSON
HGB,ORG
36,CARDINAL
Art,PERSON
315,CARDINAL
HGB,ORG
42,CARDINAL
the Sectoral Decarbonisation Approach,ORG
SDA,ORG
20302,CARDINAL
57%,PERCENT
1.5°,CARDINAL
2021,CARDINAL
45.8 kg,QUANTITY
2023,CARDINAL
44.4 kg,QUANTITY
2030,DATE
19.8 kg,QUANTITY
4.49,CARDINAL
74%,PERCENT
1.5°,CARDINAL
2021,CARDINAL
97.3,CARDINAL
2023,DATE
64.9,CARDINAL
2030,DATE
25.6,CARDINAL
67%,PERCENT
1.5°,CARDINAL
2021,CARDINAL
87.4 kg,QUANTITY
2023,CARDINAL
89.0 kg,QUANTITY
2030,DATE
28.4 kg,QUANTITY
57%,PERCENT
1.5°,CARDINAL
2021,CARDINAL
36.6 kg,QUANTITY
2023,CARDINAL
36.9 kg,QUANTITY
2030,DATE
15.8 kg,QUANTITY
36%,PERCENT
1.8,CARDINAL
2021,CARDINAL
1.4,CARDINAL
2023,CARDINAL
1.2,CARDINAL
2030,DATE
0.9,CARDINAL
Cement,ORG
23%,PERCENT
1.5°,CARDINAL
2021,CARDINAL
0.7,CARDINAL
2023,CARDINAL
0.8,CARDINAL
2030,DATE
0.5,CARDINAL
0.1bn,MONEY
31%,PERCENT
1.8,CARDINAL
2021,CARDINAL
172,CARDINAL
2023,CARDINAL
148,CARDINAL
2030,DATE
118,CARDINAL
22%,PERCENT
1.8,CARDINAL
2021,CARDINAL
796,CARDINAL
2023,CARDINAL
785,CARDINAL
2030,DATE
620,CARDINAL
SDA,ORG
2,CARDINAL
CO2,PRODUCT
the end of each year,DATE
2021,DATE
the base year,DATE
2030,DATE
3,CARDINAL
SDA,ORG
SDA,ORG
Commerzbank,ORG
Commerzbank,ORG
SDA,ORG
CO2,PRODUCT
Commerzbank,ORG
the end of 2023,DATE
Bank,ORG
the next few years,DATE
CO2,PRODUCT
2022,DATE
2023,DATE
Bank,ORG
54,CARDINAL
Commerzbank,ORG
2023,DATE
"the Corporate 
Clients,",ORG
Small-Business Customers,ORG
Treasury,ORG
2024,DATE
the European Green Deal,ORG
2050,DATE
EU,ORG
EU Taxonomy Regulation,ORG
the EU Taxonomy,FAC
EU,ORG
the EU Taxonomy Regulation,ORG
2023,DATE
first,ORDINAL
the EU Taxonomy,FAC
two years,DATE
the EU Taxonomy,FAC
Taxonomy-,PERSON
Art,GPE
10,CARDINAL
3,CARDINAL
Art,PERSON
11,CARDINAL
3,CARDINAL
Art,PERSON
12,CARDINAL
2,CARDINAL
Art,PERSON
13,CARDINAL
2,CARDINAL
Art,PERSON
14,CARDINAL
2,CARDINAL
Art,PERSON
15,CARDINAL
2,CARDINAL
the Taxonomy Regulation,ORG
5,CARDINAL
EU,ORG
2021/2178,DATE
8,CARDINAL
Taxonomy Regulation,ORG
EU,ORG
2020/852,CARDINAL
Art,GPE
3,CARDINAL
2,CARDINAL
the Delegated Act,LAW
8,CARDINAL
the Taxonomy Regulation,LAW
Art,GPE
3,CARDINAL
EU,ORG
2021/2178,DATE
KPI,ORG
Draft Commission,ORG
the end of December 2023,DATE
Taxonomy Quotas,PERSON
NFR,ORG
2024,DATE
3,CARDINAL
EU,ORG
Draft Commission Notice,ORG
Article 8,LAW
Taxonomy-,PERSON
third,ORDINAL
EU,ORG
"Corporate Responsibility 
Management Report 
Risk Report 
Financial Statements 
Further Information",ORG
"55 
 
25 Declaration",MONEY
Art,PERSON
HGB,ORG
36,CARDINAL
Art,PERSON
315,CARDINAL
HGB,ORG
42,CARDINAL
KPI,ORG
GAR,ORG
Taxonomy-,PERSON
GAR,ORG
GAR,ORG
first,ORDINAL
Notes,PRODUCT
93,CARDINAL
GAR,ORG
• Financial Guarantees,ORG
FinGuar KPI,ORG
CapEx,ORG
AuM,ORG
AuM KPI,ORG
FinGuar KPI,ORG
the current reporting year,DATE
prior-year,DATE
Notes,PRODUCT
EU,ORG
2026,DATE
4,CARDINAL
GAR,ORG
NFR,ORG
"the Non-Financial 
Reporting Directive",ORG
SPV’s,ORG
Two,CARDINAL
CapEx,ORG
GAR,ORG
two,CARDINAL
GAR,ORG
AuM,ORG
CapEx,ORG
Art,PERSON
9,CARDINAL
KPI,ORG
Taxonomy,PERSON
EU Green Bond Standard,ORG
CapEx,ORG
2022,DATE
GAR,ORG
56,CARDINAL
Commerzbank,ORG
"Taxonomy-
non-eligible",PERSON
"the Taxonomy 
Regulation",ORG
2023,DATE
Taxonomy-,PERSON
Bank,ORG
mBank,ORG
Group,ORG
"Article 8 Taxonomy Regulation 
 
 
 
 
 
 
 
 
",LAW
assets1,PERSON
KPI2,PERSON
KPI2,PERSON
CapEx,ORG
GAR,ORG
Article 7,LAW
2,CARDINAL
3,CARDINAL
GAR,ORG
Article 7,LAW
1,CARDINAL
Section 1.2.4,LAW
GAR,ORG
2.28,CARDINAL
2.34,CARDINAL
2.43,CARDINAL
32.98,CARDINAL
36.25,CARDINAL
30.77,CARDINAL
GAR,ORG
0.72,CARDINAL
0.76,CARDINAL
6.70,CARDINAL
9.75,CARDINAL
22.44,CARDINAL
0.00,CARDINAL
0.04,CARDINAL
0.10,CARDINAL
0.00,CARDINAL
6.04,CARDINAL
6.86,CARDINAL
GAR,ORG
2,CARDINAL
CapEx KPI,PRODUCT
3,CARDINAL
KPI,ORG
4,CARDINAL
Article 94(1,LAW
CRR,ORG
Article 325a(1,LAW
CRR,ORG
5,CARDINAL
SPV’s,ORG
"the European 
Economic Area",ORG
1,CARDINAL
2,CARDINAL
EU,ORG
2023/2486,DATE
27 June 2023,DATE
four,CARDINAL
"Corporate Responsibility 
Management Report 
Risk Report 
Financial Statements 
Further Information",ORG
Art,PERSON
HGB,ORG
36,CARDINAL
Art,PERSON
315,CARDINAL
HGB,ORG
42,CARDINAL
four,CARDINAL
2023,DATE
2025,DATE
six,CARDINAL
first,ORDINAL
first,ORDINAL
second,ORDINAL
three to six,CARDINAL
EU,ORG
1 January 2023,DATE
first,ORDINAL
GAR,ORG
Notes,PRODUCT
Commerzbank,ORG
ESG,ORG
the coming years,DATE
Commerzbank,ORG
2023,DATE
the Commerzbank Group,ORG
annual,DATE
"the European 
Central Bank’s",ORG
first,ORDINAL
Commerzbank,ORG
NGFS,ORG
58,CARDINAL
Commerzbank,ORG
2023,DATE
three,CARDINAL
1 Credit,CARDINAL
3,CARDINAL
5,CARDINAL
6,CARDINAL
up to one year,DATE
five years,DATE
horizon more than five years,DATE
at least ten years,DATE
Bank,ORG
"the Commerzbank 
Group’s",ORG
annual,DATE
German,NORP
Germany,GPE
Europe,LOC
the Commerzbank Group’s,ORG
ESG,ORG
Commerzbank Aktiengesellschaft’s,ORG
"Corporate Responsibility 
Management Report 
Risk Report 
Financial Statements 
Further Information",ORG
"59 
 
25 Declaration",MONEY
Art,PERSON
HGB,ORG
36,CARDINAL
Art,PERSON
315,CARDINAL
HGB,ORG
42,CARDINAL
Bank,ORG
the Intergovernmental Panel,ORG
"the Carbon Risk 
Real Estate Monitor",FAC
CRREM,ORG
the Climate Excellence Tool,ORG
CRREM,ORG
CO2,PRODUCT
1.5,CARDINAL
2.0,CARDINAL
The Climate Excellence Tool,ORG
Commerzbank,ORG
Bank,ORG
annual,DATE
2022,DATE
the year,DATE
Bank,ORG
the year,DATE
first,ORDINAL
two,CARDINAL
1 Credit,CARDINAL
5,CARDINAL
6,CARDINAL
up to one year,DATE
five years,DATE
horizon more than five years,DATE
at least ten years,DATE
Commerzbank,ORG
ENCORE,ORG
"around 
10%",PERCENT
around 29%,PERCENT
60,CARDINAL
Commerzbank,ORG
Commerzbank,ORG
Bank,ORG
4%,PERCENT
24%,PERCENT
Article 8 or Article 9,LAW
EU,ORG
"the Commerz Real Renewable Energies 
Fund II",ORG
ESG,ORG
4,CARDINAL
CO2,PRODUCT
Bank,ORG
Bank,ORG
ESG,ORG
Corporate Clients,ORG
ESG,ORG
ESG,ORG
mBank,ORG
"Corporate Responsibility 
Management Report 
Risk Report 
Financial Statements 
Further Information",ORG
"61 
 
25 Declaration",MONEY
Art,PERSON
HGB,ORG
36,CARDINAL
Art,PERSON
315,CARDINAL
HGB,ORG
42,CARDINAL
Commerzbank,ORG
the 1980s,DATE
the Centre of Competence Energy,ORG
Hamburg,GPE
New York,GPE
Commerzbank Aktiengesellschaft,ORG
Europe,LOC
the year,DATE
2023,CARDINAL
Europe,LOC
USA,GPE
One,CARDINAL
the year,DATE
Boitzenburger Land,ORG
100,MONEY
"65,000",CARDINAL
every year,DATE
CoC Energy’s,ORG
2023,DATE
2021–2025,CARDINAL
mBank,ORG
approximately €2.1bn,MONEY
10bn,ORDINAL
Polish,NORP
the end of 2023,DATE
mBank,ORG
909,MONEY
3.98bn,CARDINAL
Polish,NORP
2023,DATE
mBank,ORG
around €261m,MONEY
1.15bn,CARDINAL
Polish,NORP
seven,CARDINAL
two,CARDINAL
two,CARDINAL
mBank,ORG
up to 5 megawatts,QUANTITY
"Commerz-
bank",ORG
KPI,ORG
ESG,ORG
CO2,PRODUCT
Bank,ORG
KfW,ORG
Small-Business Customers,ORG
third,ORDINAL
50kWh per square metre,QUANTITY
less than one third,CARDINAL
KlimaDarlehen,WORK_OF_ART
"the
Centre of Competence Energy",ORG
2023,DATE
"24,3 %",PERCENT
"14,6%",PERCENT
"38,8%",PERCENT
"22,0 %",PERCENT
31 December 2023,DATE
"0,3 %",PERCENT
62,CARDINAL
Commerzbank,ORG
2023,DATE
ESG,ORG
2007,DATE
first,ORDINAL
2023,DATE
Commerzbank,ORG
76,CARDINAL
2022,DATE
more than 30%,PERCENT
year,DATE
ESG,ORG
2023,DATE
first,ORDINAL
Commerzbank,ORG
2023,DATE
CHF,ORG
1bn,DATE
the ICMA Green Bond,ORG
Bank,ORG
more than 280,CARDINAL
Commerzbank,ORG
ESG,ORG
ESG,ORG
ESG,ORG
2017,DATE
"the Loan Market 
Association",ORG
Commerzbank,ORG
2023,DATE
65,CARDINAL
74.7bn,MONEY
Commerzbank,ORG
around 6%,PERCENT
Bank,ORG
Commerzbank Aktiengesellschaft,ORG
ESG,ORG
Bank,ORG
the end of 2023,DATE
around €3.1bn,MONEY
Commerzbank,ORG
Germany,GPE
the UN Principles for Responsible Investment,ORG
PRI,ORG
Commerzbank,ORG
76,CARDINAL
2023,DATE
2023,DATE
Commerzbank,ORG
65,CARDINAL
74.7bn,MONEY
"Corporate Responsibility 
Management Report 
Risk Report 
Financial Statements 
Further Information",ORG
"63 
 
25 Declaration",MONEY
Art,PERSON
HGB,ORG
36,CARDINAL
Art,PERSON
315,CARDINAL
HGB,ORG
42,CARDINAL
UN,ORG
PRI,ORG
Commerzbank,ORG
2023,DATE
"Vermögensverwaltung 
Nachhaltigkeit",WORK_OF_ART
Sustainable Asset Management,ORG
10th,ORDINAL
ESG,ORG
ESG,ORG
recent years,DATE
the end of 2023,DATE
12.5%,PERCENT
Commerzbank Asset Management’s,ORG
Commerzbank,ORG
ESG,ORG
"Aquila Capital 
Investmentgesellschaft",ORG
the beginning of 2024,DATE
Commerzbank,ORG
Aktiengesellschaft,ORG
the second quarter,DATE
2024,DATE
mBank,ORG
ETF,ORG
Two,CARDINAL
seven,CARDINAL
mBank,ORG
ESG,ORG
end-2023,DATE
year,DATE
year,DATE
34,MONEY
151,CARDINAL
Polish,NORP
ESG,ORG
32%,PERCENT
the previous year,DATE
first,ORDINAL
2005,DATE
The Commerz Real Group,ORG
55,CARDINAL
41,CARDINAL
"around 1,573 megawatts",QUANTITY
one,CARDINAL
German,NORP
today,DATE
511 megawatts,QUANTITY
2028,DATE
six,CARDINAL
around €3.3bn,MONEY
the end of 2023,DATE
2020,DATE
first,ORDINAL
European,NORP
2021,DATE
Article 9,LAW
the EU Disclosure Regulation,ORG
EU,ORG
the Paris Agreement,EVENT
"around 
€",MONEY
1.3bn,MONEY
the end of 2023,DATE
"the Commerz 
Real Renewable Energies Fund II",ORG
the Paris Agreement,EVENT
Article 9,LAW
EU,ORG
the end of 2023,DATE
Europe,LOC
2021,DATE
one,CARDINAL
first,ORDINAL
"Article 8 of the Disclosure 
Regulation",LAW
64,CARDINAL
Commerzbank,ORG
2023,DATE
14,CARDINAL
2050,DATE
2022,DATE
EU,ORG
5%,PERCENT
May 2023,DATE
the Smart Living Europe Fund,ORG
first,ORDINAL
Article 8,LAW
EU,ORG
10%,PERCENT
Article 3 of the EU Taxonomy,LAW
Commerzbank Aktiengesellschaft,ORG
"the European 
Emissions Trading Scheme",ORG
EU,ORG
UK,GPE
UK,GPE
"the World Bank’s 
",ORG
Carbon Pricing Leadership Coalition,ORG
Bank,ORG
Commerz Real Mobilienleasing,PERSON
CRML,ORG
CRML,ORG
CO2,PRODUCT
Commerzbank,ORG
Group,ORG
Group Risk Management,ORG
Group,ORG
"Information Security Management 
System",ORG
Commerzbank,ORG
"GRM-
CRIS",PERSON
mBank,ORG
mBank,ORG
Poland,GPE
"a 
year",DATE
Bank,ORG
24-hour,TIME
SOC,ORG
"Corporate Responsibility 
Management Report 
Risk Report 
Financial Statements 
Further Information",ORG
"65 
 
25 Declaration",DATE
Art,PERSON
HGB,ORG
36,CARDINAL
Art,PERSON
315,CARDINAL
HGB,ORG
42,CARDINAL
SOC,ORG
mBank,ORG
Commerzbank Aktiengesellschaft,ORG
EU,ORG
the Group Data Protection Policy,ORG
Group,ORG
the European Union,ORG
Commerzbank,ORG
Commerzbank,ORG
third,ORDINAL
Commerzbank,ORG
Commerzbank,ORG
Poland,GPE
mBank,ORG
Bank,ORG
the Personal Data Security Policy,ORG
Policy for Personal Data Management,ORG
Bank,ORG
almost 11 million,CARDINAL
Germany,GPE
around 5.8 million,CARDINAL
Poland,GPE
the Czech Republic,GPE
Slovakia,ORG
"25,500",CARDINAL
2023,DATE
Commerzbank Aktiengesellschaft,ORG
Germany,GPE
221,CARDINAL
the end of the year,DATE
third,ORDINAL
Efficient,ORG
Group,ORG
Commerzbank Aktiengesellschaft,PERSON
the Big Data and Advanced Analytics (BDAA) Group,ORG
ML,ORG
BDAA,ORG
Group’s AI,ORG
AI,GPE
three,CARDINAL
AI,GPE
AI,GPE
"the 
Group Works Council",ORG
AI,GPE
ML,ORG
Commerzbank,ORG
Group,ORG
"Commerzbank 
Aktiengesellschaft",ORG
Maintaining,GPE
recent years,DATE
66,CARDINAL
Commerzbank,ORG
2023,DATE
Group,ORG
Bank,ORG
Commerzbank Aktiengesellschaft’s Corporate Clients,ORG
Commerzbank Aktiengesellschaft,ORG
"the Board of 
Managing Directors",ORG
SME,ORG
Commerzbank,ORG
2023,DATE
"1,500",CARDINAL
Wirtschaft,ORG
Wie,PERSON
the turn of the century,DATE
annual,DATE
2–15,MONEY
over €250,MONEY
first,ORDINAL
the MiFID II,EVENT
EU,ORG
three,CARDINAL
Private,LOC
Small-Business Customers,ORG
some 500,CARDINAL
Commerzbank Aktiengesellschaft,PERSON
2023,DATE
Global Changer,PERSON
CO2,PRODUCT
CO2,PRODUCT
Commerzbank,ORG
Commerzbank,ORG
FinanzKompass,ORG
Commerzbank,ORG
Group,ORG
"Corporate Responsibility 
Management Report 
Risk Report 
Financial Statements 
Further Information",ORG
Art,PERSON
HGB,ORG
36,CARDINAL
Art,PERSON
315,CARDINAL
HGB,ORG
42,CARDINAL
Around two-thirds,CARDINAL
ATM,ORG
"Commerzbank 
Aktiengesellschaft",ORG
5,CARDINAL
ISO 14001-certified,PRODUCT
2009,DATE
2015,DATE
ISO,ORG
First,ORDINAL
two,CARDINAL
Bank,ORG
Commerzbank,ORG
Germany,GPE
monthly,DATE
20,MONEY
2023,DATE
2023,DATE
Commerzbank,ORG
"76,591 tonnes",QUANTITY
68,CARDINAL
Commerzbank,ORG
2021,DATE
previous years,DATE
30%,PERCENT
2025,DATE
the base year 2018,DATE
2022,DATE
"78,402 tonnes",QUANTITY
34.9%,PERCENT
2023,DATE
2023,DATE
"76,591",CARDINAL
36.4%,PERCENT
2018,DATE
Commerzbank Aktiengesellschaft’s,ORG
Germany,GPE
2015,DATE
2021,DATE
Bank,ORG
Operational CO2,ORG
Commerzbank Aktiengesellschaft,ORG
2023,DATE
Tonnes CO2,PERSON
Germany,GPE
1,CARDINAL
"16,717",CARDINAL
701,CARDINAL
"17,418",CARDINAL
Scope 2,PRODUCT
"52,768",CARDINAL
"6,599",CARDINAL
"59,367",CARDINAL
"7,883",CARDINAL
"4,984",CARDINAL
"12,867",CARDINAL
3,CARDINAL
"37,630",CARDINAL
"8,676",CARDINAL
"46,306",CARDINAL
"62,230",CARDINAL
"14,361",CARDINAL
"76,591",CARDINAL
Commerzbank,ORG
GHG,ORG
2,CARDINAL
2,CARDINAL
3,CARDINAL
Commerzbank,ORG
"the 
Association for Environmental Management and Sustainability",ORG
Financial Institutions,ORG
VfU,PERSON
CDP,ORG
the Global Reporting Initiative,ORG
CO2,PRODUCT
first,ORDINAL
CO2,PRODUCT
CO2,PRODUCT
77,CARDINAL
"Commerzbank 
Group",ORG
"42,000",CARDINAL
2023,DATE
Commerzbank Aktiengesellschaft,ORG
Commerzbank Aktiengesellschaft,ORG
"the 
year",DATE
Bank,ORG
Bank,ORG
the end of 2024,DATE
0,CARDINAL
"10
20",CARDINAL
2022,CARDINAL
2023,CARDINAL
Total CO2,ORG
"1,000 tons",QUANTITY
"84,0",CARDINAL
71.2,CARDINAL
78.4,CARDINAL
76.6,CARDINAL
Commerzbank,ORG
"Corporate Responsibility 
Management Report 
Risk Report 
Financial Statements 
Further Information",ORG
69,CARDINAL
Art,PERSON
HGB,ORG
36,CARDINAL
Art,PERSON
315,CARDINAL
HGB,ORG
42,CARDINAL
Bank,ORG
the past three years,DATE
Pulse Check,WORK_OF_ART
autumn 2023,DATE
Commerzbank Aktiengesellschaft,ORG
Commerzbank,ORG
"the 
Board of Managing Directors",ORG
2024,DATE
the year,DATE
2023,DATE
Commerzbank,ORG
One,CARDINAL
first,ORDINAL
Commerzbank,ORG
2023,DATE
2024,DATE
2023,DATE
Bank,ORG
Bank,ORG
Bank,ORG
the Sustainability Report,ORG
Global Reporting Initiative,WORK_OF_ART
GRI Report,ORG
Commerzbank,ORG
"Commerzbank 
Aktiengesellschaft",ORG
Germany,GPE
2023,DATE
third,ORDINAL
Lernzeit+,PERSON
Commerzbank Aktiengesellschaft,ORG
"the Sustainability 
Session",ORG
Digi Sessions,ORG
Learning Time+,WORK_OF_ART
twelve hours,TIME
2023,DATE
German,NORP
Sustainable Building,ORG
first,ORDINAL
Sustainable4Life,PRODUCT
2023,DATE
70,CARDINAL
Commerzbank,ORG
2023,DATE
Commerzbank Aktiengesellschaft’s,ORG
2023,DATE
Commerzbank,ORG
Commerzbank,ORG
2022,DATE
mBank,ORG
mBank,ORG
"Energised for 
Health",WORK_OF_ART
"three 
decades",DATE
"Diversity 
Management",ORG
Group,ORG
Bank,ORG
"the Global Diversity 
Council",ORG
"the Board of Managing 
Directors",ORG
Group,ORG
122,CARDINAL
mBank,ORG
Poland,GPE
Diversity and Inclusion Policy,ORG
"the Diversity Charter of the Responsible Business 
Forum",LAW
The Diversity and Inclusion Policy,ORG
mBank,ORG
the coming years,DATE
ESG,ORG
mBank,ORG
the Board of Managing Directors,ORG
2022,DATE
January 2023,DATE
mBank,ORG
third,ORDINAL
Bloomberg Gender Equality Index,ORG
mBank,ORG
the “Diversity IN Check,ORG
2023,DATE
the Responsible Business Forum,ORG
Poland,GPE
Worldwide,PERSON
Commerzbank Group,ORG
122,CARDINAL
"Corporate Responsibility 
Management Report 
Risk Report 
Financial Statements 
Further Information",ORG
Art,PERSON
HGB,ORG
36,CARDINAL
Art,PERSON
315,CARDINAL
HGB,ORG
42,CARDINAL
Commerzbank Aktiengesellschaft,PERSON
the Works Council,ORG
Germany,GPE
up to 50%,PERCENT
their working hours,TIME
70%,PERCENT
2023,DATE
Commerzbank,ORG
spring 2024,DATE
Commerzbank,ORG
around 51%,PERCENT
recent years,DATE
the end of 2023,DATE
36.1%,PERCENT
Group,ORG
Commerzbank,ORG
more than 36%,PERCENT
last year,DATE
The Board of Managing Directors,ORG
40%,PERCENT
the end of 2030,DATE
1 to 4,CARDINAL
Commerzbank Aktiengesellschaft,ORG
one,CARDINAL
Risk Management,ORG
Group Services,ORG
GRI Report,ORG
the UN Convention,ORG
the Rights of Persons with Disabilities (UN CRPD,WORK_OF_ART
2018,DATE
first,ORDINAL
Germany,GPE
Two,CARDINAL
one,CARDINAL
3 to 12 months,DATE
Mobile Working,ORG
"Kids & Co 
",ORG
0,CARDINAL
"10
20",CARDINAL
2022,CARDINAL
2023,DATE
33.7,CARDINAL
36.1,CARDINAL
35.0,CARDINAL
72,CARDINAL
Commerzbank,ORG
2023,DATE
Commerzbank,ORG
Bank,ORG
2023,DATE
Inclusion 2.0,ORG
Commerzbank Aktiengesellschaft,ORG
5%,PERCENT
recent years,DATE
5.6%,PERCENT
the year,DATE
2023,DATE
120,CARDINAL
Commerzbank,ORG
Commerzbank Aktiengesellschaft,ORG
2023,DATE
2023,DATE
Commerzbank,ORG
Foundation,ORG
lesbian,NORP
ten,CARDINAL
Commerzbank,ORG
the year,DATE
Commerzbank,ORG
Christopher Street Day,FAC
Commerzbank,ORG
"the previous 
year",DATE
the Commerzbank Tower,ORG
Pride,WORK_OF_ART
Bank,ORG
Commerzbank Group,ORG
Commerzbank,ORG
Bank,ORG
Commerzbank Aktiengesellschaft’s,PERSON
Group,ORG
Group Compliance,ORG
Group,ORG
Group,ORG
Group,ORG
"Corporate Responsibility 
Management Report 
Risk Report 
Financial Statements 
Further Information",ORG
"73 
 
25 Declaration",MONEY
Art,PERSON
HGB,ORG
36,CARDINAL
Art,PERSON
315,CARDINAL
HGB,ORG
42,CARDINAL
Russia,GPE
The German Act,LAW
Supply Chains,PERSON
LkSG,ORG
1 January 2023,DATE
One,CARDINAL
Commerzbank,ORG
Commerzbank,ORG
three,CARDINAL
Commerzbank,ORG
Group Compliance,ORG
second,ORDINAL
Group,ORG
LkSG,PERSON
Commerzbank,ORG
Bank,ORG
2023,CARDINAL
LkSG,ORG
LkSG,GPE
annual,DATE
"Commerzbank 
Aktiengesellschaft",ORG
Supply,GPE
the Federal Office of Economics and Export Control,ORG
August 2022,DATE
Commerzbank,ORG
first,ORDINAL
2022,CARDINAL
Commerzbank,ORG
Aktiengesellschaft,ORG
Commerzbank,ORG
Commerzbank,ORG
Commerzbank,ORG
Commerzbank,ORG
many years,DATE
ISO,ORG
German,NORP
the OECD’s Guidelines for Multinational Enterprises,ORG
the OECD Convention on Combating Bribery,ORG
Commerzbank,ORG
ABC Policy,ORG
annual,DATE
74,CARDINAL
Commerzbank,ORG
2023,DATE
Commerzbank Aktiengesellschaft,ORG
Commerzbank,ORG
zero-,CARDINAL
previous years,DATE
the Commerzbank Group,ORG
2023,DATE
Commerzbank,ORG
Commerzbank Aktiengesellschaft,PERSON
Germany,GPE
"690,113",MONEY
the year,DATE
the previous year,DATE
Commerzbank,ORG
Christmas,DATE
2023,DATE
Bank,ORG
"500,000",MONEY
Germany,GPE
2022,DATE
2023,DATE
Hamas,ORG
Israel,GPE
Commerzbank,ORG
anti-Semitism,NORP
October 2023,DATE
two,CARDINAL
Sunday,DATE
German,NORP
One,CARDINAL
Commerzbank,ORG
German,NORP
1990,DATE
2023,DATE
60,CARDINAL
Commerzbank,ORG
Nationale Naturlandschaften e.V.,ORG
"More than 2,000",CARDINAL
Commerzbank Aktiengesellschaft,ORG
"Finanz-
Heldinnen",WORK_OF_ART
2018,DATE
heroines,CARDINAL
Instagram,ORG
Der Finanzplaner,WORK_OF_ART
Frauen,GPE
Financial,ORG
each year,DATE
"Corporate Responsibility 
Management Report 
Risk Report 
Financial Statements 
Further Information",ORG
"75 
 
25 Declaration",MONEY
Art,PERSON
HGB,ORG
36,CARDINAL
Art,PERSON
315,CARDINAL
HGB,ORG
42,CARDINAL
Christmas,DATE
the Social Days 2023,LOC
the previous year,DATE
one day,DATE
more than 140,CARDINAL
2023,DATE
mBank,ORG
sixth,ORDINAL
"the Great Orchestra of Christmas Charity 
Foundation",FAC
mBank,ORG
more than €22,MONEY
97,CARDINAL
Polish,NORP
the last six years,DATE
Ukraine,GPE
Poland,GPE
mBank,ORG
"the Polish Centre for International 
Aid (",ORG
Bank,ORG
More than €3,MONEY
14,CARDINAL
Polish,NORP
Paynow,GPE
Ukrainian,GPE
Ukrainian,NORP
230,CARDINAL
mBank,ORG
2022/2023 school year,DATE
Group,ORG
Commerzbank Foundation,ORG
Commerzbank,ORG
1970,DATE
the Commerzbank Foundation,ORG
Germany,GPE
German,NORP
more than 50-year,CARDINAL
around €40,MONEY
"1,000",CARDINAL
seven,CARDINAL
"638,000",MONEY
2023,DATE
mFoundation,GPE
Poland,GPE
2023,DATE
Bank,ORG
Polish,NORP
mBank,ORG
the end of 2023,DATE
131,CARDINAL
The Commerzbank Foundation,ORG
Commerzbank,ORG
"638,000",MONEY
seven,CARDINAL
2023,DATE
76,DATE
Commerzbank,ORG
2023,DATE
300bn,MONEY
300bn,MONEY
Small-Business Customers,ORG
• Green,ORG
Commerzbank,ORG
• KfW,ORG
Commerzbank,ORG
KlimaDarlehen,ORG
Green CBU,GPE
Commerzbank,ORG
• Sustainable,ORG
Commerzbank,ORG
• Securities,ORG
Article 8,LAW
Article 9,LAW
EU,ORG
Commerzbank,ORG
Commerzbank,ORG
Commerzbank,ORG
Commerzbank,ORG
Commerzbank,ORG
Luxembourg,GPE
23 July 2016,DATE
Allianz,ORG
Commerzbank,ORG
financial year,DATE
• Securities,ORG
ESG,ORG
EU,ORG
Commerzbank,ORG
the CoC Energy,ORG
• Sustainable,ORG
Commerzbank,ORG
that financial year,DATE
Commerzbank,ORG
financial year,DATE
that financial year,DATE
Commerzbank,ORG
• Investment,ORG
Commerzbank,ORG
the ESG Framework,ORG
Corporate Clients,ORG
ESG,ORG
"the Corporate 
Clients",ORG
1,CARDINAL
ESG,ORG
Commerzbank,ORG
2,CARDINAL
first,ORDINAL
2023,DATE
3,CARDINAL
"Corporate Responsibility 
Management Report 
Risk Report 
Financial Statements 
Further Information",ORG
"77 
 
25 Declaration",TIME
Art,PERSON
HGB,ORG
36,CARDINAL
Art,PERSON
315,CARDINAL
HGB,ORG
